Class,Variety
Hard,Abbaye du Mont des Cats
Hard,Abertam
Hard,Ackawi
Hard,Acorn
Hard,Allgauer Emmentaler
Hard,Anejo Enchilado
Hard,Anthoriro
Hard,Ardi Gasna
Hard,Asiago
Hard,Balaton
Hard,Barry's Bay Cheddar
Hard,Basing
Hard,Bavarian Bergkase
Hard,Beauvoorde
Hard,Berkswell
Hard,Blue
Hard,Boeren Leidenkaas
Hard,Bra
Hard,Buffalo
Hard,Cabrales
Hard,Caerphilly
Hard,Cairnsmore
Hard,Canestrato
Hard,Castellano
Hard,Castelleno
Hard,Castelmagno
Hard,Castigliano
Hard,Comte
Hard,Coolea
Hard,Coquetdale
Hard,Corleggy
Hard,Cotherstone
Hard,Cotija
Hard,Coverdale
Hard,Crayeux de Roncq
Hard,Crottin de Chavignol
Hard,Curworthy
Hard,Cwmtawe Pecorino
Hard,Denhany Dorset Drum
Hard,Derby
Hard,Doolin
Hard,Dorset Blue Vinney
Hard,Double Worcester
Hard,Dry Jack
Hard,Duddleswell
Hard,Dunlop
Hard,Duroblando
Hard,Dutch Mimolette (Commissiekaas)
Hard,Emmental
Hard,Etorki
Hard,Evora De L'Alentejo
Hard,Finlandia Swiss
Hard,Fiore Sardo
Hard,Folded cheese with mint
Hard,Four Herb Gouda
Hard,Fourme de Montbrison
Hard,Fribourgeois
Hard,Friesekaas
Hard,Friesian
Hard,Fromage a Raclette
Hard,Frying Cheese
Hard,Gabriel
Hard,Gammelost
Hard,Gaperon a l'Ail
Hard,Garrotxa
Hard,Gornyaltajski
Hard,Gospel Green
Hard,Gowrie
Hard,Grafton Village Cheddar
Hard,Grana
Hard,Grana Padano
Hard,Graviera
Hard,Gruyere
Hard,Halloumi
Hard,Halloumy (Australian)
Hard,Haloumi-Style Cheese
Hard,Heidi Gruyere
Hard,Herriot Farmhouse
Hard,Iberico
Hard,Idaho Goatster
Hard,Idiazabal
Hard,Isle of Mull
Hard,Jarlsberg
Hard,Jindi Brie
Hard,Kadchgall
Hard,Kefalotyri
Hard,Laguiole
Hard,Lairobell
Hard,Lancashire
Hard,Laruns
Hard,Lavistown
Hard,Leafield
Hard,Leicester
Hard,Leyden
Hard,Lincolnshire Poacher
Hard,Llanboidy
Hard,Llanglofan Farmhouse
Hard,Loch Arthur Farmhouse
Hard,Longhorn
